"Model","tv_mean","tv_sd","ctfde_mean","ctfde_sd","ctfie_mean","ctfie_sd","ctfse_mean","ctfse_sd","ett_mean","ett_sd"
"True_Label",-0.0375,0.0462,-0.0121,0.0206,0.037,0.0215,-0.0116,0.0352,-0.0491,0.0298
"Decision_Tree",0.0228,0.0396,0.0153,0.0295,0.0018,0.0138,-0.0093,0.0278,0.0135,0.0321
"Logistic_Regression",0.0387,0.0373,0.024,0.0111,0.0091,0.0265,-0.0237,0.0272,0.015,0.0283
"Random_Forest",-0.0187,0.0412,-0.0113,0.0286,0.0109,0.015,-0.0035,0.0292,-0.0222,0.032
"SVM",0.0231,0.0368,0.0295,0.0088,0.0248,0.0268,-0.0184,0.0268,0.0047,0.0284
"XGBoost",-0.0837,0.0401,-0.0839,0.0232,0.0194,0.0232,-0.0196,0.0284,-0.1033,0.0308
