"Model","tv_mean","tv_sd","ctfde_mean","ctfde_sd","ctfie_mean","ctfie_sd","ctfse_mean","ctfse_sd","ett_mean","ett_sd"
"Decision_Tree",0.1207,0.0378,-0.0504,0.0281,-0.1282,0.0238,-0.0429,0.0324,0.0778,0.0353
"Logistic_Regression",0.2732,0.0355,0.0312,0.0111,-0.1596,0.0308,-0.0824,0.033,0.1907,0.0318
"Random_Forest",0.1388,0.0399,-0.0118,0.03,-0.1079,0.0252,-0.0428,0.0346,0.096,0.0365
"SVM",0.2737,0.0347,0.0368,0.0096,-0.1533,0.0306,-0.0836,0.0342,0.1901,0.0317
"XGBoost",0.2199,0.0364,0.0235,0.021,-0.138,0.0281,-0.0585,0.0329,0.1615,0.0335
