"Model","tv_mean","tv_sd","ctfde_mean","ctfde_sd","ctfie_mean","ctfie_sd","ctfse_mean","ctfse_sd","ett_mean","ett_sd"
"True_Label",-0.032,0.0448,-0.0406,0.0256,-5e-04,0.0168,-0.0081,0.0331,-0.0401,0.0291
"Decision_Tree",-0.036,0.0413,-0.0458,0.0286,-0.024,0.0121,0.0142,0.0288,-0.0218,0.0306
"Logistic_Regression",0.0761,0.0367,0.0654,0.0133,-0.0134,0.0261,0.0028,0.0274,0.0788,0.0278
"Random_Forest",-0.0955,0.0423,-0.092,0.028,-0.0189,0.0152,0.0224,0.0279,-0.0731,0.0303
"SVM",0.0026,0.0359,0.0371,0.0105,0.0215,0.0263,0.013,0.0259,0.0156,0.0278
"XGBoost",-0.0996,0.0404,-0.0848,0.023,0.0083,0.0233,0.0065,0.0282,-0.0931,0.0308
