"Model","tv_mean","tv_sd","ctfde_mean","ctfde_sd","ctfie_mean","ctfie_sd","ctfse_mean","ctfse_sd","ett_mean","ett_sd"
"Decision_Tree",0.1207,0.0378,-0.0303,0.027,-0.1124,0.022,-0.0386,0.0306,0.0821,0.0344
"Logistic_Regression",0.2732,0.0355,0.0417,0.0118,-0.1536,0.0308,-0.0779,0.0341,0.1953,0.0323
"Random_Forest",0.1388,0.0399,-0.024,0.0277,-0.1328,0.0241,-0.03,0.0327,0.1088,0.0359
"SVM",0.2737,0.0347,0.0283,0.0136,-0.1599,0.0295,-0.0855,0.0326,0.1882,0.0302
"XGBoost",0.2199,0.0364,0.0234,0.0222,-0.1414,0.0295,-0.0551,0.0339,0.1648,0.0359
