"Model","tv_mean","tv_sd","ctfde_mean","ctfde_sd","ctfie_mean","ctfie_sd","ctfse_mean","ctfse_sd","ett_mean","ett_sd"
"True_Label",-0.0483,0.0436,0.024,0.0184,0.0684,0.0253,0.004,0.0317,-0.0444,0.0305
"Decision_Tree",0.0081,0.0366,0.0215,0.0272,0.0224,0.0132,-0.0089,0.0242,-8e-04,0.0292
"Logistic_Regression",0.0145,0.0333,0.0284,0.0112,0.0079,0.0235,0.006,0.023,0.0205,0.0255
"Random_Forest",-0.0261,0.0387,-0.0162,0.0276,0.0251,0.0151,-0.0152,0.026,-0.0413,0.03
"SVM",0.0185,0.0333,0.0344,0.01,0.0209,0.025,-0.005,0.0218,0.0135,0.0261
"XGBoost",-0.0889,0.037,-0.0731,0.0201,0.0178,0.0209,-0.002,0.0238,-0.0909,0.0282
