0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286,0.446286
0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905,0.570905
0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000,0.940000
0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373,0.294373
0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298,0.352298
0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611,0.769611
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667,0.696667
0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714,0.985714
0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849,0.751849
0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167,0.523167
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667,0.901667
