File,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0
checkpoints_Decision_Tree_TR-TR.csv,0.27214590241591663,0.021316911416390336,0.10350544765513975,0.06489815253434392,0.041449549976314545,0.15490288962576979,0.03292278540975841,0.026527711984841308,0.01468498342018001,0.26764566556134534
checkpoints_Decision_Tree_TR-TS_IC_Samples.csv,0.24554755589238347,0.04073512694202349,0.0949223190602501,0.07370215990905646,0.06839712012125805,0.13205759757483895,0.058355437665782495,0.02235695339143615,0.013830996589617279,0.25009473285335354
checkpoints_Decision_Tree_TR-TS_No_Fairness.csv,0.24554755589238347,0.04073512694202349,0.0949223190602501,0.07370215990905646,0.06839712012125805,0.13205759757483895,0.058355437665782495,0.02235695339143615,0.013830996589617279,0.25009473285335354
checkpoints_Decision_Tree_TR-TS_Our_Prompt.csv,0.24554755589238347,0.04073512694202349,0.0949223190602501,0.07370215990905646,0.06839712012125805,0.13205759757483895,0.058355437665782495,0.02235695339143615,0.013830996589617279,0.25009473285335354
checkpoints_Decision_Tree_TR-TS_With_Fairness.csv,0.24554755589238347,0.04073512694202349,0.0949223190602501,0.07370215990905646,0.06839712012125805,0.13205759757483895,0.058355437665782495,0.02235695339143615,0.013830996589617279,0.25009473285335354
checkpoints_Decision_Tree_TS-TR_IC_Samples.csv,0.27214590241591663,0.021316911416390336,0.10350544765513975,0.06489815253434392,0.041449549976314545,0.15490288962576979,0.03292278540975841,0.026527711984841308,0.01468498342018001,0.26764566556134534
checkpoints_Decision_Tree_TS-TR_No_Fairness.csv,0.27214590241591663,0.021316911416390336,0.10350544765513975,0.06489815253434392,0.041449549976314545,0.15490288962576979,0.03292278540975841,0.026527711984841308,0.01468498342018001,0.26764566556134534
checkpoints_Decision_Tree_TS-TR_Our_Prompt.csv,0.27214590241591663,0.021316911416390336,0.10350544765513975,0.06489815253434392,0.041449549976314545,0.15490288962576979,0.03292278540975841,0.026527711984841308,0.01468498342018001,0.26764566556134534
checkpoints_Decision_Tree_TS-TR_With_Fairness.csv,0.27214590241591663,0.021316911416390336,0.10350544765513975,0.06489815253434392,0.041449549976314545,0.15490288962576979,0.03292278540975841,0.026527711984841308,0.01468498342018001,0.26764566556134534
checkpoints_Decision_Tree_TS-TS_IC_Samples.csv,0.4075,0.0075,0.005,0.00375,0.0,0.025,0.00375,0.01,0.0,0.5375
checkpoints_Decision_Tree_TS-TS_No_Fairness.csv,0.45,0.0,0.0,0.00375,0.0,0.025,0.00375,0.0,0.0,0.5175
checkpoints_Decision_Tree_TS-TS_Our_Prompt.csv,0.4725,0.0,0.0,0.00375,0.0,0.03,0.00375,0.0,0.0,0.49
checkpoints_Decision_Tree_TS-TS_With_Fairness.csv,0.50875,0.0,0.0,0.0,0.0,0.0325,0.00375,0.0,0.0,0.455
checkpoints_Logistic_Regression_TR-TR.csv,0.004263382283278067,0.060634770251065846,0.14850781620085268,0.18829938417811465,0.18498342018000946,0.17598294647086687,0.10705826622453814,0.05968735196589294,0.041923259118901,0.02865940312648034
checkpoints_Logistic_Regression_TR-TS_IC_Samples.csv,0.0060629026146267525,0.06801818870784387,0.1479727169382342,0.18889730958696477,0.18662372110647973,0.1775293671845396,0.1028798787419477,0.05665024630541872,0.04035619552860932,0.025009473285335353
checkpoints_Logistic_Regression_TR-TS_No_Fairness.csv,0.0060629026146267525,0.06536566881394468,0.14532019704433496,0.18757104964001517,0.1826449412656309,0.18624478969306554,0.10363774156877605,0.057787040545661236,0.04035619552860932,0.025009473285335353
checkpoints_Logistic_Regression_TR-TS_Our_Prompt.csv,0.004168245547555892,0.05968169761273209,0.1466464569912846,0.18283440697233802,0.18416066691928762,0.18889730958696477,0.1070481242895036,0.05930276619931792,0.04149298976885184,0.025767336112163697
checkpoints_Logistic_Regression_TR-TS_With_Fairness.csv,0.0060629026146267525,0.06574460022735885,0.14816218264494127,0.18719211822660098,0.18321333838575218,0.1830238726790451,0.10401667298219022,0.05759757483895415,0.04016672982190224,0.02482000757862827
checkpoints_Logistic_Regression_TS-TR_IC_Samples.csv,0.005921364282330649,0.0665561345333965,0.15111321648507817,0.19043107531975367,0.17929891046897206,0.17764092846991947,0.10374230222643296,0.05684509711037423,0.041449549976314545,0.02700142112742776
checkpoints_Logistic_Regression_TS-TR_No_Fairness.csv,0.005210800568450971,0.0611084793936523,0.14850781620085268,0.19019422074846046,0.18261487446707722,0.17764092846991947,0.1049265750828991,0.059924206537186164,0.041449549976314545,0.028422548555187114
checkpoints_Logistic_Regression_TS-TR_Our_Prompt.csv,0.006158218853623875,0.0665561345333965,0.15087636191378492,0.19043107531975367,0.17953576504026528,0.17787778304121268,0.10326859308384652,0.05684509711037423,0.04168640454760777,0.026764566556134534
checkpoints_Logistic_Regression_TS-TR_With_Fairness.csv,0.004263382283278067,0.060634770251065846,0.1487446707721459,0.1880625296068214,0.18450971103742303,0.17645665561345333,0.10682141165324491,0.059924206537186164,0.041923259118901,0.02865940312648034
checkpoints_Logistic_Regression_TS-TS_IC_Samples.csv,0.145,0.0925,0.095,0.065,0.05875,0.04125,0.04375,0.0575,0.08375,0.3175
checkpoints_Logistic_Regression_TS-TS_No_Fairness.csv,0.17625,0.07875,0.08375,0.06625,0.06375,0.05,0.08,0.0925,0.09875,0.21
checkpoints_Logistic_Regression_TS-TS_Our_Prompt.csv,0.07625,0.1025,0.12375,0.07375,0.09625,0.1075,0.1125,0.11375,0.135,0.05875
